"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","participant_code","rt","response","stimulus","stimulus_file","correct_response","rt_child","rt_experimenter","experimenter_response","expected"
"true","false","[]","[]","[]","preload","0","2.1.0","6","54","","","","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2231","54","1220","","","","","","","",""
"","","","","","survey-text","2","2.1.0","4835","54","2559","{""Code"":""54""}","","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","5351","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","4","2.1.0","5352","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","5","2.1.0","6095","54","736"," ","8_V0.png","8_V0.png","","","","",""
"","","","","","html-keyboard-response","6","2.1.0","6712","54","615","8","","","true","736","615","8","8"
"","","","","","html-keyboard-response","7","2.1.0","7225","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","8","2.1.0","7228","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","9","2.1.0","7560","54","330"," ","4_V0.png","4_V0.png","","","","",""
"","","","","","html-keyboard-response","10","2.1.0","8147","54","584","4","","","true","330","584","4","4"
"","","","","","html-keyboard-response","11","2.1.0","8652","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","12","2.1.0","8655","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.1.0","8845","54","189"," ","5_V1.png","5_V1.png","","","","",""
"","","","","","html-keyboard-response","14","2.1.0","9503","54","657","5","","","true","189","657","5","5"
"","","","","","html-keyboard-response","15","2.1.0","10005","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","16","2.1.0","10007","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","17","2.1.0","10262","54","252"," ","6_V3.png","6_V3.png","","","","",""
"","","","","","html-keyboard-response","18","2.1.0","10926","54","662","6","","","true","252","662","6","6"
"","","","","","html-keyboard-response","19","2.1.0","11442","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","20","2.1.0","11445","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","21","2.1.0","11728","54","282"," ","8_V3.png","8_V3.png","","","","",""
"","","","","","html-keyboard-response","22","2.1.0","12355","54","626","7","","","false","282","626","7","8"
"","","","","","html-keyboard-response","23","2.1.0","12866","54","null","null","<div style=""font-size:48px;"">*</div>","","","","","",""
"","","","","","html-keyboard-response","24","2.1.0","12868","54","null","null","","","","","","",""
"","","","","","image-keyboard-response","25","2.1.0","12964","54","94"," ","2_V1.png","2_V1.png","","","","",""
